OBJECTID,HOEHE,NAME,SPRACHCODE,LONGITUDE,LATITUDE,ELEVATION
188,3178,Cime de l'Est,Franzoesisch inkl. Lokalsprachen,6.948038632080631,46.17282565721189,3177.9937119999977
189,3057,Grand Ruan,Franzoesisch inkl. Lokalsprachen,6.9029762262624965,46.124292277515266,3056.782511999998
190,3057,Mont Ruan,Franzoesisch inkl. Lokalsprachen,6.9029762262624965,46.124292277515266,3056.782511999998
191,2915,Bächistock,Hochdeutsch inkl. Lokalsprachen,8.989097013313954,46.992892365136626,2915.0575119999976
192,2764,Höch Windgällen,Hochdeutsch inkl. Lokalsprachen,8.791757326012162,46.88793430983859,2763.6362119999976
193,2928,Six Madun,Rumantsch Grischun inkl. Lokalsprachen,8.663675670112951,46.622511562260016,2927.7262119999978
194,2928,Badus,Rumantsch Grischun inkl. Lokalsprachen,8.663675670112951,46.622511562260016,2927.7262119999978
195,2946,Wissensteinhorn,Hochdeutsch inkl. Lokalsprachen,9.228530822476559,46.62343249984839,2945.487511999998
196,2946,Piz Tomül,Rumantsch Grischun inkl. Lokalsprachen,9.228530822476559,46.62343249984839,2945.487511999998
197,2929,Bärenhorn,Hochdeutsch inkl. Lokalsprachen,9.231972094981762,46.575491203939094,2928.2287119999983
198,2586,Pizzo Molare,Italienisch inkl. Lokalsprachen,8.86506070847695,46.48861651974923,2585.451211999998
199,2972,Piz Curvér,Rumantsch Grischun inkl. Lokalsprachen,9.497101443059748,46.603426841896706,2971.9137119999978
200,2880,Piz Fess,Rumantsch Grischun inkl. Lokalsprachen,9.288865469247817,46.72762300136114,2880.861211999998
201,3256,Gross Düssi,Hochdeutsch inkl. Lokalsprachen,8.82767893434373,46.79162793280118,3255.7350119999974
202,3256,Piz Git,Rumantsch Grischun inkl. Lokalsprachen,8.82767893434373,46.79162793280118,3255.7350119999974
203,3159,Piz Mitgel,Rumantsch Grischun inkl. Lokalsprachen,9.646564847044592,46.6142533890789,3158.260011999997
204,3173,Tinzenhorn,Hochdeutsch inkl. Lokalsprachen,9.671322303832055,46.61205819132128,3172.465011999997
205,3173,Corn da Tinizong,Rumantsch Grischun inkl. Lokalsprachen,9.671322303832055,46.61205819132128,3172.465011999997
206,3339,Piz Ela,Rumantsch Grischun inkl. Lokalsprachen,9.707630821290012,46.60195505349736,3338.420011999997
207,3128,Piz Bleis Marscha,Rumantsch Grischun inkl. Lokalsprachen,9.719747955562108,46.57007715844044,3127.4950119999976
208,3262,Piz Forbesch,Rumantsch Grischun inkl. Lokalsprachen,9.559167980899971,46.5203312654796,3261.263711999998
209,2910,Piz Neir,Rumantsch Grischun inkl. Lokalsprachen,9.680180065529864,46.4843958148347,2909.0387119999978
210,3203,Piz Arblatsch,Rumantsch Grischun inkl. Lokalsprachen,9.576967562564668,46.53551643221854,3202.4762119999978
211,3397,Piz Calderas,Rumantsch Grischun inkl. Lokalsprachen,9.695961072403128,46.536435099861805,3396.4400119999973
212,3378,Piz d'Err,Rumantsch Grischun inkl. Lokalsprachen,9.691497429781247,46.5451854507567,3377.8137119999974
213,3204,Piz d'Agnel,Rumantsch Grischun inkl. Lokalsprachen,9.702238536889755,46.51145345204814,3203.5012119999974
214,3392,Piz Platta,Rumantsch Grischun inkl. Lokalsprachen,9.561662144628245,46.48706420737612,3391.468711999998
215,3165,Piz Lagrev,Rumantsch Grischun inkl. Lokalsprachen,9.723001034586618,46.44569774742053,3164.0812119999973
216,3164,Mazzaspitz,Hochdeutsch inkl. Lokalsprachen,9.573988736674806,46.46512804087511,3163.5987119999972
217,3018,Piz Turba,Italienisch inkl. Lokalsprachen,9.60566830977421,46.410279585600776,3017.545011999997
218,3159,Piz da la Margna,Italienisch inkl. Lokalsprachen,9.730000077971557,46.381951140623045,3158.5562119999977
219,3053,Piz Piot,Italienisch inkl. Lokalsprachen,9.586904714078052,46.40286903283034,3052.5350119999985
220,3244,Piz Bacun,Italienisch inkl. Lokalsprachen,9.682336653719068,46.34231097104697,3243.5012119999974
221,2932,Piz Grevasalvas,Rumantsch Grischun inkl. Lokalsprachen,9.674435663884115,46.42288478403613,2931.6025119999977
222,2927,Piz d'Emmat Dadaint,Rumantsch Grischun inkl. Lokalsprachen,9.703832872233482,46.44070474784404,2926.5525119999984
223,2780,Piz Lunghin,Italienisch inkl. Lokalsprachen,9.67028913179621,46.41051036170106,2779.5875119999982
224,3107,Gletscherhorn,Hochdeutsch inkl. Lokalsprachen,9.560631926313441,46.38744758263922,3106.5187119999973
225,3131,Piz Duan,Italienisch inkl. Lokalsprachen,9.58316450638898,46.37531721681405,3130.5075119999983
226,3214,Monte del Forno,Italienisch inkl. Lokalsprachen,9.72471876857718,46.33826355452402,3213.515011999998
227,3379,Cima di Castello,Italienisch inkl. Lokalsprachen,9.677459090240676,46.30186252865768,3378.6612119999972
228,3302,Pizzo Badile,Italienisch inkl. Lokalsprachen,9.586320492851184,46.29531061556294,3306.998711999997
229,3369,Pizzo Cengalo,Italienisch inkl. Lokalsprachen,9.601960645543874,46.29491286346007,3368.7800119999974
230,3383,Tieralplistock,Hochdeutsch inkl. Lokalsprachen,8.37497869328183,46.63310778232327,3382.6637119999978
231,3692,Wetterhorn,Hochdeutsch inkl. Lokalsprachen,8.115546704107958,46.6387551471371,3691.5225119999977
232,3588,Hinterer Rhonestock,Hochdeutsch inkl. Lokalsprachen,8.419279056327323,46.63418813630816,3587.3150119999973
233,3515,Tiefenstock,Hochdeutsch inkl. Lokalsprachen,8.422360789115011,46.62726528041091,3514.9000119999982
